"Time","Euribor3M_D99_Value","OvernightAANonFinancialPaperInterestRate_D98_Value","X12.MLondonLiborEuro_D86_Value"
2015-10-26,-0.064,0.09,0.09
2015-10-27,-0.066,0.08,0.08
2015-10-28,-0.067,0.08,0.08
2015-10-29,-0.068,0.08,0.08
2015-10-30,-0.068,0.08,0.08
2015-11-02,-0.066,0.1,0.1
2015-11-03,-0.069,0.1,0.1
2015-11-04,-0.069,0.09,0.09
2015-11-05,-0.071,0.09,0.09
2015-11-06,-0.073,0.09,0.09
2015-11-09,-0.073,0.09,0.09
2015-11-10,-0.077,0.09,0.09
2015-11-11,-0.079,NA,NA
2015-11-12,-0.081,0.09,0.09
2015-11-13,-0.083,0.08,0.08
2015-11-16,-0.086,0.1,0.1
2015-11-17,-0.091,0.11,0.11
2015-11-18,-0.092,0.1,0.1
2015-11-19,-0.092,0.09,0.09
2015-11-20,-0.095,0.08,0.08
2015-11-23,-0.099,0.08,0.08
2015-11-24,-0.104,0.09,0.09
2015-11-25,-0.104,0.03,0.03
2015-11-26,-0.109,NA,NA
2015-11-27,-0.113,NA,NA
2015-11-30,-0.114,0.11,0.11
2015-12-01,-0.116,0.11,0.11
2015-12-02,-0.118,0.1,0.1
2015-12-03,-0.124,0.09,0.09
2015-12-04,-0.113,0.1,0.1
2015-12-07,-0.113,0.1,0.1
2015-12-08,-0.116,0.11,0.11
2015-12-09,-0.119,0.11,0.11
2015-12-10,-0.125,0.11,0.11
2015-12-11,-0.128,0.11,0.11
2015-12-14,-0.129,0.11,0.11
2015-12-15,-0.132,0.11,0.11
2015-12-16,-0.133,0.13,0.13
2015-12-17,-0.133,0.31,0.31
2015-12-18,-0.131,0.33,0.33
2015-12-21,-0.13,0.32,0.32
2015-12-22,-0.131,0.3,0.3
2015-12-23,-0.131,0.3,0.3
2015-12-24,-0.131,0.3,0.3
2015-12-28,NA,0.31,0.31
2015-12-29,-0.132,0.3,0.3
2015-12-30,-0.132,0.26,0.26
2015-12-31,-0.131,0.15,0.15
2016-01-04,-0.132,0.32,0.32
2016-01-05,-0.133,0.32,0.32
2016-01-06,-0.136,0.31,0.31
2016-01-07,-0.142,0.28,0.28
2016-01-08,-0.143,0.28,0.28
2016-01-11,-0.143,0.31,0.31
2016-01-12,-0.144,0.32,0.32
2016-01-13,-0.144,0.29,0.29
2016-01-14,-0.143,0.29,0.29
2016-01-15,-0.142,0.29,0.29
2016-01-18,-0.142,NA,NA
2016-01-19,-0.143,0.31,0.31
2016-01-20,-0.144,0.29,0.29
2016-01-21,-0.146,0.29,0.29
2016-01-22,-0.152,0.31,0.31
2016-01-25,-0.155,0.33,0.33
2016-01-26,-0.158,0.32,0.32
2016-01-27,-0.159,0.29,0.29
2016-01-28,-0.16,0.29,0.29
2016-01-29,-0.162,0.29,0.29
2016-02-01,-0.162,0.31,0.31
2016-02-02,-0.161,0.31,0.31
2016-02-03,-0.162,0.3,0.3
2016-02-04,-0.166,0.31,0.31
2016-02-05,-0.167,0.31,0.31
2016-02-08,-0.169,0.33,0.33
2016-02-09,-0.171,0.32,0.32
2016-02-10,-0.175,0.3,0.3
2016-02-11,-0.179,0.32,0.32
2016-02-12,-0.183,0.31,0.31
2016-02-15,-0.183,NA,NA
2016-02-16,-0.187,0.32,0.32
2016-02-17,-0.189,0.31,0.31
2016-02-18,-0.195,0.31,0.31
2016-02-19,-0.198,0.31,0.31
2016-02-22,-0.199,0.32,0.32
2016-02-23,-0.2,0.32,0.32
2016-02-24,-0.201,0.3,0.3
2016-02-25,-0.201,0.3,0.3
2016-02-26,-0.202,0.28,0.28
2016-02-29,-0.205,0.29,0.29
2016-03-01,-0.207,0.3,0.3
2016-03-02,-0.208,0.3,0.3
2016-03-03,-0.213,0.3,0.3
2016-03-04,-0.215,0.31,0.31
2016-03-07,-0.216,0.31,0.31
2016-03-08,-0.221,0.3,0.3
