Date;Sales Product X;Overall Discount;Net Revenue.x;Gross List Price;Sales Used Product ieS;Sales used Produktline;Sales Total;Average Inventory Days;Commission weighted Produktline total);Overvaluation;Average Sales Price (per Used);Sales Provision;Contribution Margin incl. Overvaluation;Contribution Margin excl. Overvaluation;RENT Inventory;RENT Rental Income;RENT Rental Income per Unit;RENT Toll.x;RENT Toll per Unit;RENT Rental Utilization;RENT Leased Vehicles;Market Share;Carbon Steel World Price;Fuel Energy Index;MSCI World;S&P500;DAX30;ARCA Steel Index;HANG SENG China;Crude Oil Prices;S&P500 Auto Parts & Equipment;Production Index China;Registration Vehicle Category Total;RVC A;RVC B;RVC C.x;RVC D;RVC E;RVC F;RVC G.x;Market Production;New Orders Index;Production Index.x;EURIBOR;Diesel Net Price;Diesel Consumer Price;ifo Business Climate Index;Toll KM DE
01.01.2010;43;0,556432707;69952,90401;154190,6279;219;718;574;112,2153906;0,129989275;0,190144857;22452,6449;0,043832187;-1810,566072;-4219,516811;2429;4893527,75;2014,626492;1106261,56;455,4390943;0,6373;1548,0017;40,77348066;653;143,74;286,33;1116,56;5975,52;1504,69;12791,33;78,33;106,48;60,5;16250;12100;1675;10051;374;3811;1210;2601;14349;86,8;80,8;0,00996;51,3;117;98,6;1148382
01.02.2010;177;0,508615757;83510,66298;156510,2189;433;1059;1220;104,467521;0,098437815;0,010128583;24669,61204;0,007864696;-1900,317177;-4135,46882;2458;5370307,51;2184,828116;1157396,6;470,8692433;0,6985;1716,913;41,05322763;673;139,3;289,5;1073,89;5587,5;1637,32;11384,96;76,39;118,99;54,3;16411;12394;1333;10618;443;3722;1322;2400;17655;90,4;86,1;0,00966;48,3;113,4;98,6;1202276
01.03.2010;253;0,490754908;84348,76463;157809,4783;381;1050;2275;95,55824176;0,094743153;0,01097691;25436,23444;0,006522395;-865,1725143;-4132,817867;2502;6231895;2490,765388;1198670,49;479,0849281;0,7801;1951,8102;40,19927847;693;146,29;307,4;1105,36;5652,85;1879,39;11710,34;81,2;126,22;58,4;25740;19083;1863;16495;725;6201;2057;4144;20594;108,7;105,8;0,00959;54,3;120,6;100,7;1504640
01.04.2010;247;0,50198963;85223,80833;155371,3279;313;1008;1665;80,77272727;0,094732714;0,015523881;24985,12437;0,009884849;46,69090278;-4819,117242;2614;7047289,57;2695,979178;1374119,29;525,6768516;0,865;2261,11;40,10714946;773;155,22;307,35;1171,23;6189,38;1752,11;12546,32;84,29;128,52;59,1;23694;17447;1746;15199;502;5815;1796;4019;19105;97,7;97,1;0,00945;57,1;123,9;104,4;1373424
01.05.2010;250;0,49508504;86595,35648;159011,892;228;649;1717;68,7086039;0,089645307;0,018687067;27662,98419;0,009395184;333,296718;-3075,574884;2689;7592482,28;2823,53376;1665166,18;619,2510896;0,8984;2415,7976;36,46680537;798;141,62;277,17;1188,58;6122,76;1560,17;11990,25;73,74;109,16;58,2;22281;16161;1650;14010;501;5793;1935;3858;18591;95,1;96,3;0,00971;57,6;124,5;105,4;1333034
01.06.2010;278;0,486813756;87082,21105;158664,3696;184;642;1960;51,86293294;0,098735776;0,019375783;27659,96685;0,008901444;2197,801916;-386,7792056;2852;8125162,78;2848,935056;1755717,69;615,6092882;0,8845;2522,594;36,48670959;757;140,14;268,25;1087,3;5943,94;1441,22;11330,98;75,34;102,81;55,8;24696;18008;1721;15669;618;6366;2179;4187;21773;107,2;104,9;0,00991;57,5;124,4;106,3;1457600
01.07.2010;318;0,492308635;87158,97361;159933,2138;162;645;2119;59,41716418;0,099886644;0,015202807;27562,12606;0,007936001;3048,362837;442,2034884;3007;8270843,13;2750,529807;1800485,99;598,7648786;0,8445;2539,4115;37,74571972;732;139,75;289,75;1031,1;5885,61;1625,73;11416,87;76,32;110,23;52,7;23420;16424;1474;14340;610;6649;2181;4468;19710;99,8;100,3;0,01056;55,6;122,1;110,5;1440190
01.08.2010;310;0,510126505;83892,81602;160035,3097;164;547;2458;55,51837959;0,093966911;0,027959611;28002,69695;0,014639418;3895,274625;410,463894;3266;7690288,19;2354,650395;1869266,35;572,3411972;0,7842;2561,1972;46,14711033;746;141,35;279,06;1107,53;6187,64;1556,46;12053,9;76,6;101,51;53,1;20892;14503;1264;12793;446;5967;2155;3812;10444;94,1;94,9;0,01145;54,7;121;111,6;1394587
01.09.2010;526;0,487005494;86135,05026;157041,1933;181;599;2771;65,93550835;0,090937508;0,009735659;30111,79245;0,004957477;4112,899533;1313,596027;3366;9052244,94;2689,318164;1842232,28;547,3060844;0,8262;2780,9892;41,3897281;748;141,95;305,16;1049,72;5936,94;1723,67;11658,51;75,24;116,7;56,4;26879;18499;1156;16727;616;7832;2724;5108;23025;104,1;109,3;0,01134;56;122,6;111,9;1491698
01.10.2010;451;0,504789696;84362,51771;159913,3545;235;627;2815;61,26069411;0,09431669;0,026184085;32077,76759;0,009348512;3603,486826;906,2619298;3387;9433451,22;2785,193747;2057595,38;607,4978978;0,8964;3036,1068;41,74481387;751;151,33;315,95;1143,49;6244,06;1751,45;12531,86;81,89;134,37;57,1;26690;18810;1458;16714;638;7400;2399;5001;20866;101,2;108,2;0,01184;57,1;123,9;113;1461139
