Date;Sales.Product.x;b;c.x;d;e;f;g;h;i;j;k;l;m;n;o;p;q;v.x;w;y;z;aa;ac;ad;ae;af;ag;ah;ai;ak;al;am;an;ao.x;ap;aq;ar;as.x;at;av;aw.x;az;ba;bb;bc
01.01.2010;6,1271428;9,315410025;5,814390997;6,61436142;8,280222453;8,495676419;5,959765511;8,286740723;9,220887178;12,69286299;5,344460323;10,31654917;5,311399854;6,274982187;6,030758321;5,986089847;7,140638501;5,368606911;7,769827001;6,260132927;5,280503716;8,901614335;7,910706954;6,776026633;6,966271073;7,08220115;8,883916799;9,558104823;8,15383883;11,71961339;5,622742225;5,849030613;9,541039179;5,648746355;6,554999883;5,65297571;6,29175394;5,790897992;6,128957208;5,50869101;4,956332964;7,222676682;7,221685939;5,789983239;5,915671992
01.02.2010;6,987174861;7,635987813;7,671985431;6,800561735;11,27796962;10,61279676;6,899550105;8,158622137;8,572967323;7,507805119;6,135021114;7,96598156;5,259583206;6,322775952;6,059936756;6,159634199;7,634198949;5,496088109;7,967505425;7,229282059;5,533988435;8,986924053;7,808955001;6,840906711;6,845900402;6,86793436;9,222253323;8,545461307;8,064989915;8,733596356;5,665481717;5,952233798;8,082753977;5,860271322;7,281901595;5,57389893;6,557401075;5,554317369;6,915437916;6,025269274;5,661664626;6,97389999;6,970791959;5,789983239;6,381323247
01.03.2010;7,474954238;7,008680832;7,786816574;6,904857065;10,54954507;10,55691969;8,43433764;8,011298509;8,497096195;7,532239713;6,40839531;7,878258753;5,857210683;6,324283412;6,104207485;6,473245756;8,521373428;5,598985162;8,072758047;8,521480902;5,886498011;8,726509573;7,969145575;7,207264251;6,93467624;6,904020992;9,839769136;8,779748122;8,285280266;10,70822052;8,141983054;8,30028178;10,34266964;8,052744396;10,25271728;7,776498236;8,300710404;7,607036807;7,614611177;8,651208781;8,283369106;7,471453374;7,47257992;6,376854567;8,993788015
01.04.2010;7,43644534;7,403265632;7,906709272;6,709139643;9,596989898;10,29616;7,546924942;7,766805596;8,496881827;7,663207359;6,247531431;8,09800373;6,383663315;5,9340203;6,216896613;6,770043427;9,116464166;6,036384317;8,669655591;9,865937787;6,350663363;8,698414542;8,173795335;7,206240906;7,12049335;7,200295825;9,515080357;9,381687672;8,426797353;11,04535148;7,598846412;7,725994667;9,843782598;7,569258756;7,903455232;7,43353602;7,681657703;7,459909554;7,260385595;7,072775198;7,125560529;7,703644953;7,702566068;7,410865952;7,8600645
01.05.2010;7,455699789;7,160763302;8,094629725;7,001378309;8,406295932;8,067285499;7,622573238;7,567313541;8,392410211;7,754317469;7,202444537;8,066002869;6,549131502;6,925483052;6,292358083;6,968489593;9,486354271;6,761972999;9,868452048;10,39485251;6,582802615;7,588280174;7,862122688;6,588549814;7,169437131;7,163507893;9,025445189;8,981294689;7,943624129;10,61189739;7,223747645;7,274568489;9,434439384;7,125690527;7,892920424;7,413988951;8,011344774;7,270409651;7,13810759;6,699690896;7,019095372;7,745107735;7,744381732;7,690328489;7,511089582
01.06.2010;7,635407981;6,870260079;8,161335318;6,973481676;7,789936702;8,02382555;7,976083542;7,28875393;8,579086053;7,774154744;7,201368567;8,033735696;7,625579632;8,45446269;6,45636101;7,162381407;9,560014409;6,987720646;9,821796273;10,17473531;6,743071676;7,594350028;7,82820537;6,405985051;6,883729572;7,0647625;8,722006076;8,506593515;8,016901585;9,456019832;7,864840017;7,922923194;9,737182803;7,744596913;9,125492891;7,923101255;8,590076034;7,657648582;7,895089324;8,435967838;8,163595805;7,736815179;7,737412455;7,941844772;8,587356222
01.07.2010;7,892133969;7,063250678;8,171852816;7,075335489;7,481757087;8,042451243;8,207392753;7,413670517;8,602719515;7,653959377;7,166478969;7,970641524;8,116640056;8,925862459;6,612314714;7,215407991;9,274653214;7,099329369;9,6059995;9,541304499;6,768309652;7,978289123;7,819267699;6,846023437;6,725191216;7,032552351;9,19268746;8,568437803;8,061784026;7,963011316;7,526109637;7,366889706;8,683976824;7,248800296;9,041214432;8,174547646;8,594819732;7,988390647;7,40431204;7,374112518;7,551421155;7,579256607;7,577119078;9,115587427;8,436931529
01.08.2010;7,840788771;7,689048155;7,724345512;7,083531024;7,509773416;7,434011965;8,700561449;7,349200308;8,481155804;8,021397085;7,323584622;8,408726986;8,605593699;8,907813786;6,872908323;7,004090231;8,126659351;7,270800883;9,267480947;8,58640756;6,801003391;10,54031959;7,855935069;6,627232258;6,940797739;7,199334987;9,015981052;9,027125274;8,074607581;8,155657576;6,855019984;6,692558689;7,788538542;6,67167662;7,313506017;7,568588499;8,533151647;7,216266822;5,199977425;6,556196934;6,832781348;7,5046236;7,500457029;9,422996217;8,042915606
01.09.2010;9,227109107;6,876994282;8,031561613;6,843184594;7,747912209;7,756857296;9,155905997;7,5214577;8,418945994;7,496487621;8,075678858;7,775987356;8,731236645;9,421378521;6,973523615;7,499832545;9,097148175;7,203404131;8,946751597;9,251509906;7,130844636;9,089540928;7,869685333;7,161418392;6,777717625;7,060897061;9,442530476;8,742428417;8,012321744;9,744989222;8,444345046;8,095279534;7,328027425;8,139294294;9,104423276;9,225646871;9,882733971;8,741682184;8,192933802;7,991136555;8,749154166;7,612426833;7,611965464;9,506834978;8,881967431
01.10.2010;8,74574788;7,501609275;7,78870093;7,073741325;8,504353082;7,93069709;9,219916093;7,444155083;8,488338634;7,970256125;8,776736999;8,062952734;8,437133761;9,189748597;6,994652827;7,638588849;9,375173699;7,740310839;9,717879786;10,36318097;7,51369891;9,197825449;8,084647791;7,382256261;7,04223972;7,230490424;9,51339671;9,371275885;8,316881169;10,08212018;8,3941726;8,204450251;8,615752955;8,134444515;9,336189039;8,841813511;9,111882907;8,615741255;7,679318603;7,575004065;8,602764576;7,703644953;7,702566068;9,814243768;8,617933647
