"Date","Total.Vehicle.Sales_TOTALSA","U.S..Inflation_CPI.U..All.Items..SA..1982.84.100...Bureau.of.Labor.Statistics.","Real.Personal.Consumption.Expenditures_DPCERAM1M225NBEA","General.government..gross.domestic.product..GDP...Quarterly..Flows..SA_Value","Rest.of.the.world..U.S..exports..Quarterly..Flows..NSA_Value","Rest.of.the.world..U.S..imports..Quarterly..Flows..SA_Value","Current.payments.to.the.rest.of.the.world..Income.payments.on.assets_W161RC1Q027SBEA","Domestic.financial.sectors..consumption.of.fixed.capital..structures..equipment..and.intellectual.property.products..current.cost.basis..fixed.asset.account.basis...Quarterly..Flows..SA_Value","General.government..interest.paid..Quarterly..Flows..NSA_Value","Household.appliances..s.a..IP..Quarterly_Value","Rest.of.the.world..balance.on.current.account..BOP...Quarterly..Flows..SA_Value"
1986-01-01,16.1,109.9,0.1,944172,78351,439418,91.5,32847,68255,92.3813,136836
1986-04-01,15.8,108.7,0.6,965844,78780,443990,93.9,33980,68945,94.4734,142768
1986-07-01,15.7,109.5,0.7,993022,80119,459434,88.5,35148,69265,97.6288,152196
1986-10-01,14.8,110.2,-1.5,994829,83750,468626,92.8,36350,69562,101.5093,156904
1987-01-01,12.4,111.4,-2.6,1008016,84113,477686,95.4,37418,70071,97.7157,157060
1987-04-01,15.5,112.7,0.5,1025047,88840,502338,100.7,38690,70664,97.5891,159940
1987-07-01,15.7,113.8,0.5,1035976,92964,517318,106,40004,71695,99.4243,160516
1987-10-01,14.3,115,-0.1,1054002,98027,537513,111.7,41357,73412,102.7894,165128
1988-01-01,16.1,116,0.9,1057031,104682,542713,118.6,42595,74416,100.9509,131808
1988-04-01,15.5,117.2,-0.4,1070837,109868,546098,121.7,44008,74671,103.7791,115584
1988-07-01,15.7,118.5,0.2,1078415,113397,552849,131.6,45430,76045,103.9373,111696
1988-10-01,15.2,119.9,0.8,1106391,116655,574314,138.5,46877,77857,113.6641,125548
1989-01-01,15.4,121.2,0.2,1116876,121297,586154,147,48133,80902,111.6571,113968
1989-04-01,16,123.1,0.6,1146080,126807,595389,155.9,49581,82895,110.9904,100672
1989-07-01,14.7,124.5,0.3,1164567,127338,584427,152.1,51010,83675,110.8735,88200
1989-10-01,13.6,125.4,-0.1,1180153,128847,598152,147.5,52420,84497,108.8232,95100
1990-01-01,16.3,127.5,0.5,1214030,134559,626767,151,53524,85539,115.8485,94584
1990-04-01,14.3,128.9,0.2,1228585,136482,614759,149.5,54862,86581,110.0772,78096
1990-07-01,14.1,130.5,0.2,1240401,138787,630102,154.1,56154,88689,101.2893,86148
1990-10-01,13.7,133.4,-0.6,1270429,142047,647282,148.1,57410,90059,92.7494,57032
1991-01-01,11.8,134.7,-0.9,1287181,143294,620317,143.7,58442,91388,91.0737,-39828
1991-04-01,12,135.1,-0.3,1296557,147683,613921,135.5,59412,92679,95.0707,-10100
1991-07-01,13,136.2,0.5,1302388,150149,621669,132.3,60158,93220,97.5029,16744
1991-10-01,12.2,137.2,-0.4,1306524,153804,638270,119.4,60683,94621,99.9656,21604
1992-01-01,12.6,138.3,1.5,1326900,156321,645823,117.3,60986,94706,98.8506,24936
1992-04-01,12.6,139.4,0.1,1338667,156541,658951,120.3,61452,95397,102.0832,47560
1992-07-01,12.9,140.5,0.3,1355421,159841,677853,115,62145,95492,98.8749,58812
1992-10-01,13.7,141.7,0.3,1360495,160349,688536,112.2,62907,94932,104.5276,75148
1993-01-01,13.5,142.8,-0.1,1351505,160901,699310,109.1,64611,96020,104.469,59108
1993-04-01,14.5,143.8,0.7,1360859,163274,716281,117.8,65578,96094,105.8321,82716
1993-07-01,14.5,144.5,0.5,1370605,162724,719251,115.3,66570,96088,110.8994,85208
1993-10-01,14.9,145.6,0.2,1381277,167900,745049,131.7,67527,95472,120.8022,112232
1994-01-01,15.4,146.3,0.3,1373939,170308,761827,131.4,68440,95003,123.5354,99924
1994-04-01,16,147.2,0.4,1392446,176747,797560,146.4,69496,96897,126.6061,114312
1994-07-01,14.9,148.4,-0.1,1424416,184221,833751,162.8,70636,98963,129.4009,126432
1994-10-01,15.9,149.4,0.6,1424156,189662,860559,178.4,71913,101742,124.4765,145780
1995-01-01,14.8,150.5,0,1440008,195393,886899,184.4,73210,105046,122.1261,125736
1995-04-01,14.4,151.8,-0.2,1455631,199713,908343,192,74317,107288,116.7402,128052
1995-07-01,14.7,152.6,-0.3,1457293,207850,905843,204,75209,108225,119.3961,107908
1995-10-01,14.9,153.5,-0.4,1455716,209856,909201,198.8,75946,108387,123.9505,92588
1996-01-01,14.8,154.7,-0.4,1472921,211985,936735,196.3,76238,108295,118.9568,109760
1996-04-01,15.5,156.1,0.4,1492548,214762,952751,203.1,76845,107425,124.4684,119360
1996-07-01,15.1,157,0.2,1500491,214894,973757,212.7,77537,108182,125.7157,144232
1996-10-01,15.3,158.2,0.3,1519839,225949,992620,221.2,78325,108437,124.3117,125740
1997-01-01,15.7,159.4,0.5,1532218,229594,1027213,239.8,78995,108490,118.668,144316
1997-04-01,15.1,159.9,0,1552209,238613,1039651,244.9,79981,109032,120.86,115192
1997-07-01,15.6,160.4,0.9,1559790,243514,1070888,255.5,81100,109277,123.6143,130868
1997-10-01,15.4,161.5,0.5,1572420,242084,1085344,256.9,82359,109022,127.9295,172504
1998-01-01,14.8,162,-0.1,1566709,240755,1098236,256.9,83860,108182,129.4101,176016
