Date,Carbon.Steel.World.Price,Fuel.Energy.Index,MSCI.World,Nickel,Aluminium,SandP500,Dax30,Natural.gas,Arca.Steel.Index,ArcelorMittal,Hang.Seng.China,Lead,China.Steel,Iron.ore,Metal.Index,Gold,Crude.Oil,ThyssenKrupp,Capesize.Charter.Rates,Car.production.China
01.01.1992,NA,35.06,524.45,7531.14,1181.23,417.03,1602.3,1.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01.02.1992,NA,35.07,514.4,7888,1270.75,408.79,1688.2,1.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01.03.1992,NA,34.61,489.18,7430.46,1282.02,412.68,1743.3,1.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01.04.1992,NA,36.68,494.99,7417.95,1317.13,403.67,1711.4,1.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01.05.1992,NA,38.19,513.67,7333.95,1306.71,414.95,1729,1.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01.06.1992,NA,40.38,495.42,7202.36,1275.27,415.35,1803.4,1.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01.07.1992,NA,39.41,495.64,7516.17,1314.35,408.2,1751.8,1.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01.08.1992,NA,38.59,506.64,7279.75,1305.55,424.19,1602,1.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01.09.1992,NA,39.57,500.95,6918.57,1270.21,414.03,1519.3,2.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01.10.1992,NA,39.2,486.38,6322.5,1180.84,417.8,1468.2,2.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01.11.1992,NA,37.19,494.11,5593.71,1162.21,418.66,1479.4,2.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01.12.1992,NA,35.6,497.13,5751.19,1209.02,431.35,1545.8,2.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
