Datum;Carbon Steel World Price;Fuel Energy Index;MSCI World;Nickel;Aluminium;SandP500;Dax30;Natural gas;Arca Steel Index;ArcelorMittal;Hang Seng China;Lead;China Steel;Iron ore;Metal Index;Gold;Crude Oil;ThyssenKrupp;Capesize Charter Rates;Car production China
Jan 92;;35,06;524,45;7531,14;1181,23;417,03;1602,3;1,44;;;;;;;;;;;;
Feb 92;;35,07;514,4;7888;1270,75;408,79;1688,2;1,18;;;;;;;;;;;;
Mrz. 92;;34,61;489,18;7430,46;1282,02;412,68;1743,3;1,26;;;;;;;;;;;;
Apr 92;;36,68;494,99;7417,95;1317,13;403,67;1711,4;1,39;;;;;;;;;;;;
Mai 92;;38,19;513,67;7333,95;1306,71;414,95;1729;1,55;;;;;;;;;;;;
Jun 92;;40,38;495,42;7202,36;1275,27;415,35;1803,4;1,59;;;;;;;;;;;;
Jul 92;;39,41;495,64;7516,17;1314,35;408,2;1751,8;1,68;;;;;;;;;;;;
Aug 92;;38,59;506,64;7279,75;1305,55;424,19;1602;1,91;;;;;;;;;;;;
Sep 92;;39,57;500,95;6918,57;1270,21;414,03;1519,3;2,09;;;;;;;;;;;;
Okt 92;;39,2;486,38;6322,5;1180,84;417,8;1468,2;2,42;;;;;;;;;;;;
Nov 92;;37,19;494,11;5593,71;1162,21;418,66;1479,4;2,28;;;;;;;;;;;;
Dez 92;;35,6;497,13;5751,19;1209,02;431,35;1545,8;2,21;;;;;;;;;;;;
Jan 93;;34,61;497,83;5948,1;1208,1;435,7;1533,1;1,95;;;;;;;;;;;;
Feb 93;;35,88;508,67;6050,75;1203,15;438,78;1582,4;1,74;;;;;;;;;;;;
Mrz. 93;;36,43;537,2;5974,91;1150,48;443,38;1695,8;2,17;;;;;;;;;;;;
Apr 93;;36,41;561,12;5987,5;1110,28;451,67;1677,6;2,33;;;;;;;;;;;;
Mai 93;;35,89;573,07;5777,79;1125,42;440,19;1620,3;2,14;;;;;;;;;;;;
Jun 93;;34,56;567,29;5544,32;1168,09;450,23;1624,9;1,97;;;;;;;;;;;;
Jul 93;;32,95;578,02;5051,18;1203,18;450,54;1705,5;2,05;;;;;;;;;;;;
Aug 93;;33,08;603,56;4740,48;1172,76;448,13;1795,4;2,32;;;;;;;;;;;;
Sep 93;;31,99;591,44;4376,05;1116,91;463,55;1938,4;2,25;;;;;;;;;;;;
Okt 93;;32,87;606,77;4464,86;1089,43;458,93;1912,9;2,04;;;;;;;;;;;;
Nov 93;;30,83;571,49;4642,27;1040,02;467,83;2064,7;2,3;;;;;;;;;;;;
Dez 93;;27,96;598,5;5139,8;1091,35;461,93;2072,7;2,12;;;;;;;;;;;;
Jan 94;;29,03;637,01;5584,05;1170;466,51;2241,7;2,38;;;;;;;;;;;;
Feb 94;;28,52;627,79;5830,1;1270,53;481,6;2183,5;2,74;;;;;;;;;;;;
Mrz. 94;;28,11;599,74;5590,43;1287,7;467,19;2090,5;2,13;;;;;;;;;;;;
Apr 94;;30,4;617,3;5400,26;1277,29;445,66;2134,1;2,04;;;;;;;;;;;;
Mai 94;;32,53;617,91;6082,86;1321,05;450,91;2261;1,93;;;;;;;;;;;;
Jun 94;;34,06;615,19;6287,05;1402,36;456,5;2131,9;1,96;;;;;;;;;;;;
Jul 94;;35,45;625,89;6230,57;1491,95;444,27;2030,3;1,9;;;;;;;;;;;;
Aug 94;;33,72;643,74;5856,14;1457,07;458,28;2150,9;1,63;;;;;;;;;;;;
Sep 94;;32,35;625,81;6370,68;1571,09;475,49;2203;1,48;;;;;;;;;;;;
Okt 94;;32,95;642,57;6735,86;1694,26;462,69;1991,8;1,52;;;;;;;;;;;;
Nov 94;;34,07;613,68;7474,55;1885,89;472,26;2062;1,58;;;;;;;;;;;;
Dez 94;;32,62;618,59;8540,65;1878,38;453,55;2051,1;1,69;;;;;;;;;;;;
Jan 95;;34,04;608,26;9596,19;2059,36;459,21;2084,1;1,49;;;;;;;;;;;;
Feb 95;;35,06;616,07;8431,25;1905,45;470,42;2037,7;1,52;;;;;;;;;;;;
Mrz. 95;;35,07;644,67;7522,39;1799,98;487,39;2114,5;1,52;;;;;;;;;;;;
Apr 95;;37,37;666,04;7405;1849,44;500,7;1915,1;1,63;;;;;;;;;;;;
Mai 95;;36,89;670,63;7262,38;1765,48;514,76;2029,6;1,66;;;;;;;;;;;;
Jun 95;;35,34;669,32;7877,27;1775,8;533,4;2118,3;1,63;;;;;;;;;;;;
Jul 95;;33,24;701,69;8618;1867,28;544,75;2083,4;1,43;;;;;;;;;;;;
Aug 95;;33,8;684,96;8931,82;1890,05;562,06;2222,3;1,53;;;;;;;;;;;;
Sep 95;;34,3;703,8;8397,25;1761,72;561,88;2233,4;1,63;;;;;;;;;;;;
Okt 95;;33,49;691,6;8068,86;1671,95;584,41;2205,4;1,76;;;;;;;;;;;;
Nov 95;;34,37;714,51;8498,1;1655,93;581,5;2157,9;1,99;;;;;;;;;;;;
Dez 95;;36,38;734,28;8074,21;1657,82;605,37;2259,4;2,67;;;;;;;;;;;;
Jan 96;;36,27;746,45;7870,71;1584,48;615,93;2271,4;2,93;;;;;;;;;;;;
Feb 96;;36,45;749,86;8198,5;1594,57;636,02;2472;3,83;;;;;;;;;;;;
Mrz. 96;;38,88;761,18;8046,4;1614,86;640,43;2494,7;2,92;;;;;;;;;;;;
Apr 96;;40,77;777,93;8047;1587,4;645,5;2495,4;2,25;;;;;;;;;;;;
Mai 96;;38,1;777,44;8042,86;1593,86;654,17;2490,7;2,24;;;;;;;;;;;;
Jun 96;;37,3;780,2;7713,16;1485,75;669,12;2526,8;2,49;;;;;;;;;;;;
Jul 96;;38,92;751,45;7202,61;1460,02;670,63;2563,9;2,56;;;;;;;;;;;;
Aug 96;;39,8;758,9;7037,62;1466,79;639,95;2492,2;2,04;;;;;;;;;;;;
Sep 96;;42,8;787,44;7329,81;1405,76;651,99;2540,8;1,83;;;;;;;;;;;;
Okt 96;;45,32;791,75;7028,7;1336,02;687,31;2647,5;2,27;;;;;;;;;;;;
Nov 96;;43,75;834,93;6960,71;1451,05;705,27;2675,4;3,08;;;;;;;;;;;;
