Year;Population
-10000;2.431.214.021
-9000;3.564.407.699
-8000;5.136.461.796
-7000;7.561.695.768
-6000;11461003.34
-5000;17920172.32
-4000;28370429.82
-3000;44819892.72
-2000;72108132.52
-1000;115065665.6
1;188239090.4
100;195062192.5
200;202309552.9
300;205316554.4
400;208909833.5
500;210429836.6
600;212642769.1
700;225835011.9
800;240487640.4
900;268747447.9
1000;295040195.2
1100;352606918.8
1200;393081041
1300;392403532.4
1400;389774827.6
1500;461367657.7
1600;553956117
1700;603167544.1
1750;811562143.9
1800;989313102.7
1850;1262675510
1900;1654429527
1910;1777175381
1920;1912110935
1930;2091893626
1940;2307348107
1950;2544876952
1960;3042794825
1970;3709837147
1980;4460709975
1990;5307597268
2000;6144834307
