Country;2016
Afghanistan;34656032
Albania;2876101
Algeria;40606052
American Samoa;55599
Andorra;77281
Angola;28813463
Antigua and Barbuda;100963
Argentina;43847430
Armenia;2924816
Aruba;104822
Australia;24210809
Austria;8731471
Azerbaijan;9757812
Bahamas, The;391232
Bahrain;1425171
Bangladesh;162951560
Barbados;284996
Belarus;9501534
Belgium;11338476
Belize;366954
Benin;10872298
Bermuda;65376
Bhutan;797765
Bolivia;10887882
Bosnia and Herzegovina;3516816
Botswana;2250260
Brazil;207652865
British Virgin Islands;30661
Brunei Darussalam;423196
Bulgaria;7127822
Burkina Faso;18646433
Burundi;10524117
Cabo Verde;539560
Cambodia;15762370
Cameroon;23439189
Canada;36264604
Cayman Islands;60765
Central African Republic;4594621
Chad;14452543
Channel Islands;164541
Chile;17909754
China;1378665000
Colombia;48653419
Comoros;795601
Congo, Dem. Rep.;78736153
Congo, Rep.;5125821
Costa Rica;4857274
Cote d'Ivoire;23695919
Croatia;4174349
Cuba;11475982
Curacao;159663
Cyprus;1170125
Czech Republic;10566332
Denmark;5728010
Djibouti;942333
Dominica;73543
Dominican Republic;10648791
Ecuador;16385068
Egypt, Arab Rep.;95688681
El Salvador;6344722
Equatorial Guinea;1221490
Estonia;1315790
Ethiopia;102403196
Faroe Islands;49117
Fiji;898760
Finland;5495303
France;66892205
French Polynesia;280208
Gabon;1979786
Gambia, The;2038501
Georgia;3719300
Germany;82487842
Ghana;28206728
Gibraltar;34408
Greece;10770521
Greenland;56186
Grenada;107317
Guam;162896
Guatemala;16582469
Guinea;12395924
Guinea-Bissau;1815698
Guyana;773303
Haiti;10847334
Honduras;9112867
Hong Kong SAR, China;7336600
Hungary;9814023
Iceland;335439
India;1324171354
Indonesia;261115456
Iran, Islamic Rep.;80277428
Iraq;37202572
Ireland;4749777
Isle of Man;83737
Israel;8546000
Italy;60627498
Jamaica;2881355
Japan;126994511
Jordan;9455802
Kazakhstan;17794397
Kenya;48461567
Kiribati;114395
Korea, Dem. People’s Rep.;25368620
Korea, Rep.;51245707
Kosovo;1816200
Kuwait;4052584
Kyrgyz Republic;6079500
Lao PDR;6758353
Latvia;1959537
Lebanon;6006668
Lesotho;2203821
Liberia;4613823
Libya;6293253
Liechtenstein;37666
Lithuania;2868231
Luxembourg;582014
Macao SAR, China;612167
Macedonia, FYR;2081206
Madagascar;24894551
Malawi;18091575
Malaysia;31187265
Maldives;427756
Mali;17994837
Malta;437418
Marshall Islands;53066
Mauritania;4301018
Mauritius;1263473
Mexico;127540423
Micronesia, Fed. Sts.;104937
Moldova;3551954
Monaco;38499
Mongolia;3027398
Montenegro;622303
Morocco;35276786
Mozambique;28829476
Myanmar;52885223
Namibia;2479713
Nauru;13049
Nepal;28982771
Netherlands;17030314
New Caledonia;277000
New Zealand;4693200
Nicaragua;6149928
Niger;20672987
Nigeria;185989640
Northern Mariana Islands;55023
Norway;5236151
Oman;4424762
Pakistan;193203476
Palau;21503
Panama;4034119
Papua New Guinea;8084991
Paraguay;6725308
Peru;31773839
Philippines;103320222
Poland;37970087
Portugal;10325452
Puerto Rico;3411307
Qatar;2569804
Romania;19699312
Russian Federation;144342396
Rwanda;11917508
Samoa;195125
San Marino;33203
Sao Tome and Principe;199910
Saudi Arabia;32275687
Senegal;15411614
Serbia;7058322
Seychelles;94677
Sierra Leone;7396190
Singapore;5607283
Sint Maarten (Dutch part);39969
Slovak Republic;5430798
Slovenia;2065042
Solomon Islands;599419
Somalia;14317996
South Africa;56015473
South Sudan;12230730
Spain;46484533
Sri Lanka;21203000
St. Kitts and Nevis;54821
St. Lucia;178015
St. Martin (French part);31949
St. Vincent and the Grenadines;109643
Sudan;39578828
Suriname;558368
Swaziland;1343098
Sweden;9923085
Switzerland;8372413
Syrian Arab Republic;18430453
Tajikistan;8734951
Tanzania;55572201
Thailand;68863514
Timor-Leste;1268671
Togo;7606374
Tonga;107122
Trinidad and Tobago;1364962
Tunisia;11403248
Turkey;79512426
Turkmenistan;5662544
Turks and Caicos Islands;34900
Tuvalu;11097
Uganda;41487965
Ukraine;45004645
United Arab Emirates;9269612
United Kingdom;65595565
United States;323127513
Uruguay;3444006
Uzbekistan;31847900
Vanuatu;270402
Venezuela, RB;31568179
Vietnam;94569072
Virgin Islands (U.S.);107510
West Bank and Gaza;4551566
Yemen, Rep.;27584213
Zambia;16591390
Zimbabwe;16150362
Arab World;406452690
Caribbean small states;7245472
Central Europe and the Baltics;102991323
Early-demographic dividend;3170657660
East Asia & Pacific;2298727229
East Asia & Pacific (excluding high income);2053299126
East Asia & Pacific (IDA & IBRD countries);2027896410
